FED_NUM,ED_NAMEE,SHAPE_Area,pop_2021_CNT
35057,Milton,471670990.21399998665,136993
35059,Mississauga East--Cooksville,33657239.31899999827,116346
35060,Mississauga--Erin Mills,35644548.37020000070,123371
35058,Mississauga Centre,24320616.14420000091,127377
46001,Brandon--Souris,3175630.34628999978,89812
46002,Charleswood--St. James--Assiniboia--Headingley,206536335.15200001001,84767
46003,Churchill--Keewatinook Aski,494867443810.00000000000,81258
46004,Dauphin--Swan River--Neepawa,56827994302.69999694824,89503
46001,Brandon--Souris,18286647573.79999923706,89812
46005,Elmwood--Transcona,49770364.74549999833,101691
35061,Mississauga--Lakeshore,91976516.11939999461,117095
35062,Mississauga--Malton,102182629.84399999678,116908
11001,Cardigan,4129204830.53999996185,39866
11002,Charlottetown,54703753.96270000190,38809
11003,Egmont,2144840310.33999991417,35925
35063,Mississauga--Streetsville,49277576.42220000178,116864
35064,Nepean,179422855.33899998665,132769
35065,Newmarket--Aurora,62338850.23820000142,127134
46006,Kildonan--St. Paul,172125067.75099998713,91480
46007,Portage--Lisgar,12656903691.60000038147,100417
46008,Provencher,18771624262.50000000000,109445
11004,Malpeque,2619302893.11999988556,39731
46009,Saint Boniface--Saint Vital,64582608.34679999202,95514
46010,Selkirk--Interlake--Eastman,25298238165.50000000000,101373
46010,Selkirk--Interlake--Eastman,539600303.30299997330,101373
46013,Winnipeg South,104629083.07500001788,113370
46010,Selkirk--Interlake--Eastman,635293.94365699997,101373
46010,Selkirk--Interlake--Eastman,43919.62026940000,101373
46011,Winnipeg Centre,28734516.79720000178,87499
46014,Winnipeg South Centre,46352466.34330000728,94803
46012,Winnipeg North,37661093.63859999925,101221
47001,Battlefords--Lloydminster,30125904969.29999923706,70918
47002,Cypress Hills--Grasslands,77831198240.00000000000,68314
47003,Desnethé--Missinippi--Churchill River,342683927812.00000000000,71488
47004,Carlton Trail--Eagle Creek,29038282711.79999923706,83395
47005,Moose Jaw--Lake Centre--Lanigan,32886993268.00000000000,80547
47006,Prince Albert,18929708472.20000076294,80845
47008,Regina--Qu'Appelle,13429480841.00000190735,78140
47009,Regina--Wascana,63345417.55629999936,89087
47007,Regina--Lewvan,57630331.93919999897,98492
47010,Saskatoon--Grasswood,342191365.85100001097,93277
47011,Saskatoon--University,70397342.14309999347,88348
47014,Yorkton--Melville,43280339842.00000000000,71220
35027,Etobicoke Centre,39212428.05300000310,118483
35069,Nickel Belt,31025314828.50000000000,94947
35092,Sault Ste. Marie,8070302338.35999965668,79331
35106,Thunder Bay--Superior North,98618350520.80001831055,83325
35028,Etobicoke--Lakeshore,53408037.79420000315,141751
48025,Lakeland,31883010239.60000228882,105993
59013,Kamloops--Thompson--Cariboo,38320131013.30000305176,135492
59015,Kootenay--Columbia,64335617395.59999084473,120759
59014,Kelowna--Lake Country,1670332072.96000003815,136290
59016,Langley--Aldergrove,381717719.62599998713,133168
59017,Mission--Matsqui--Fraser Canyon,21769549792.59999847412,101216
59018,Nanaimo--Ladysmith,2780319928.44999980927,134509
59019,New Westminster--Burnaby,28826314.63360000029,125253
59020,North Okanagan--Shuswap,16734380769.29999923706,136520
35029,Etobicoke North,50547451.79789999872,116003
35030,Flamborough--Glanbrook,941159384.97599995136,125692
35031,Glengarry--Prescott--Russell,3078451369.26000022888,116463
35033,Haldimand--Norfolk,4562549596.30000019073,116706
35034,Haliburton--Kawartha Lakes--Brock,8992606469.26000022888,122401
35021,Don Valley West,31739837.57149999961,101959
35026,Essex,2238100537.40999984741,134656
47012,Saskatoon West,92729164.68770000339,87855
47013,Souris--Moose Mountain,43213050775.09999847412,70579
35022,Dufferin--Caledon,2292853328.40000009537,142838
35023,Durham,953225545.83499991894,150235
35025,Elgin--Middlesex--London,3805654192.23999977112,126428
35032,Guelph,92719608.97329999506,143740
35036,Hamilton East--Stoney Creek,77806341.87880000472,112028
35037,Hamilton Mountain,34925413.57060000300,107629
35038,Hamilton West--Ancaster--Dundas,109781661.54200001061,117565
35035,Hamilton Centre,48883101.29900000244,106439
35039,Hastings--Lennox and Addington,9468138116.23999977112,100636
35040,Huron--Bruce,6267628483.22000026703,112929
35042,Kenora,321632897472.00000000000,64261
35043,King--Vaughan,449368598.84799998999,147695
35051,London--Fanshawe,124238758.40199999511,127068
35053,London West,82487549.54219999909,139305
35054,Markham--Stouffville,298990230.43900001049,135944
35080,Oxford,2384545274.19999980927,124790
35081,Parkdale--High Park,16904346.24320000038,106750
35024,Eglinton--Lawrence,23756974.05849999934,115832
35082,Parry Sound--Muskoka,19893938703.70000076294,104494
35083,Perth--Wellington,3781964124.61000013351,113910
35084,Peterborough--Kawartha,3472340642.71999979019,125478
35085,Pickering--Uxbridge,688472469.22399997711,120742
35086,Renfrew--Nipissing--Pembroke,12778428998.40000152588,107420
35041,Kanata--Carleton,830437545.15100014210,116651
35044,Kingston and the Islands,682621775.37999999523,126106
35087,Richmond Hill,41841033.36739999801,114180
35088,Carleton,1229001931.90000009537,131375
35089,St. Catharines,88594772.01850000024,114782
35046,Kitchener--Conestoga,948747369.88800013065,107134
35047,Kitchener South--Hespeler,111414651.22699999809,119851
35048,Lambton--Kent--Middlesex,6034426065.28000068665,111242
35049,Lanark--Frontenac--Kingston,7323169946.01000022888,111424
35045,Kitchener Centre,43860308.99669999629,113452
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,3897851916.76000022888,104070
35090,Toronto--St. Paul's,13757432.05189999938,116953
35091,Sarnia--Lambton,1845070986.84999990463,107077
35093,Scarborough--Agincourt,22412875.08009999990,104423
35052,London North Centre,62914587.80889999121,138255
35055,Markham--Thornhill,43950605.11760000139,97510
35094,Scarborough Centre,29544027.44390000030,113104
35095,Scarborough--Guildwood,27855267.88129999861,103449
35096,Scarborough North,31870762.37220000103,94717
35076,Orléans,218124461.55700004101,139309
35077,Ottawa South,75973451.40549999475,125090
35098,Scarborough Southwest,32181526.13470000029,111994
35097,Scarborough--Rouge Park,57411699.84540000558,102254
35099,Simcoe--Grey,2831903648.82000017166,151784
35100,Simcoe North,3310422028.62000036240,120656
35101,Spadina--Fort York,21891200.45479999855,136213
35102,Stormont--Dundas--South Glengarry,2916627825.61000013351,104493
35103,Sudbury,977303960.70099997520,95537
35105,Thunder Bay--Rainy River,40334167388.19999694824,82357
35078,Ottawa--Vanier,46709152.24780000001,118806
35079,Ottawa West--Nepean,92543891.30379998684,116409
35104,Thornhill,65952760.33630000055,115292
35107,Timmins--James Bay,251639152544.99996948242,80785
35108,Toronto Centre,6161115.66865000036,119901
35109,Toronto--Danforth,27666164.68969999999,105472
35110,University--Rosedale,14275079.80969999917,106216
